State,Bill_Number,Bill_Name,Summary,Source_Link,Bill_Type,Year
Hawaii,SB 742,Relating To Data Sharing,establishes a data sharing and governance working group within the office of enterprise technology services (coordinated by the chief data officer) to evaluate data-sharing practices and develop guidelines for the use of ai. appropriates funds for the working group’s activities.,https://www.capitol.hawaii.gov/session/measure_indiv.aspx?billtype=SB&billnumber=742&year=2025,SB,2025
Hawaii,SB 785,Relating To Dynamic Pricing,"prohibits retailers from implementing dynamic pricing in the sale of food that is eligible for purchase under the snap or wic programs, and imposes penalties for violations.",https://www.capitol.hawaii.gov/session/measure_indiv.aspx?billtype=SB&billnumber=785&year=2025,SB,2025
Idaho,H 0004,Information Technology Services,requires idaho state agencies to implement cybersecurity best practices and mandates the use of multifactor authentication for access to government systems​legiscan.com​legiscan.com,https://legislature.idaho.gov/sessioninfo/2025/legislation/H0004/,HB,2025
Idaho,H 0127,Artificial Intelligence Communications Disclosure,requires that ai-generated communications in trade or commerce be clearly identified as ai-generated. undisclosed ai communications are deemed an unfair and deceptive trade practice​legiscan.com​legiscan.com,https://legislature.idaho.gov/sessioninfo/2025/legislation/H0127/,HB,2025
Idaho,H 0203,Idaho Competition Act – Pricing Algorithms,prohibits companies from using shared pricing algorithms or ai-driven systems that incorporate nonpublic competitor data to fix prices. defines such pricing algorithms as any automated price-setting process (including those using ai) and allows affected parties to seek damages​billtrack50.com​idahofreedom.org,https://legislature.idaho.gov/sessioninfo/2025/legislation/H0203/,HB,2025
Idaho,H 0364,Department Of Governmental Efficiency (Doge) Task Force,establishes a legislative task force to evaluate and improve efficiency in state government operations. authorizes the task force to utilize artificial intelligence tools and other technologies in its analysis and recommendations​legiscan.com​idahofamilyphysicians.org,https://legislature.idaho.gov/sessioninfo/2025/legislation/H0364/,HB,2025
Illinois,HB 1252 / SB 124 – Motor Vehicle Insurance Fairness,Nan,"prohibits auto insurers from using certain socio-economic and personal factors (potentially via **algorithms**) in setting rates or deciding coverage, and requires proof that any ai or model used in insurance does not result in disparate impact against protected classes.",https://ilga.gov/legislation/BillStatus.asp?DocNum=124&GAID=17&SessionID=112&DocTypeID=SB,HB,2025
Illinois,HB 1427 – “Algorithmics in Rent” Act,Nan,"proposes the “prohibition of algorithmics in rent act,” banning landlords from using **algorithmic rent-setting tools** (especially those using non-public competitor data) to decide rent amounts or increases for residential leases.",https://ilga.gov/legislation/BillStatus.asp?DocNum=1427&GAID=17&SessionID=112&DocTypeID=HB,HB,2025
Illinois,HB 1806 – Wellness & Oversight for Psychological Resources (WOPR) Act,Nan,"prohibits offering therapy or counseling services via ai alone. requires any ai-assisted therapy to be overseen by a licensed human professional, effectively **banning unsupervised ai “therapists.”**",https://ilga.gov/legislation/BillStatus.asp?DocNum=1806&GAID=17&SessionID=112&DocTypeID=HB,HB,2025
Illinois,HB 1859 – AI in Community Colleges,Nan,"bars community college courses from using ai or generative ai as a substitute for a qualified instructor. in other words, **no fully ai-taught classes** for credit; a human instructor must be present.",https://ilga.gov/legislation/BillStatus.asp?DocNum=1859&GAID=17&SessionID=112&DocTypeID=HB,HB,2025
Illinois,HB 1937 – State Auditing Act (AI Review),"Directs The Auditor General To Survey The State’S Administrative Rules, And Allows Using **Ai Tools** Or Contracting Private Entities (Which May Use Ai) To Identify And Count Regulatory Mandates",one of the first uses of ai in state audit/statute review.,https://ilga.gov/legislation/BillStatus.asp?DocNum=1937&GAID=17&SessionID=112&DocTypeID=HB,HB,2025
Illinois,HB 2503 - SB 1556 – Ed Tech Advisory Board (AI in Schools),Nan,requires creation of a **state instructional technology advisory board** to guide the board of education on ed-tech including ai. also directs that board to develop standards for **safe ai use in schools**.,https://ilga.gov/legislation/BillStatus.asp?DocNum=2503&GAID=17&SessionID=112&DocTypeID=HB,HB,2025
Illinois,HB 2655,Ai Higher Education Report,requires the board of higher education to submit a report detailing the status of **ai education** in illinois universities.,https://www.ilga.gov/legislation/BillStatus.asp?DocNum=2655&GAID=18&DocTypeID=HB&SessionID=114&GA=104,HB,2025
Illinois,HB 2655 – AI in Higher Education Report,Nan,"mandates the board of higher education to report on the status of **ai education and development** in illinois colleges and universities, including programs and research, to inform future policy.",https://ilga.gov/legislation/BillStatus.asp?DocNum=2655&GAID=17&SessionID=112&DocTypeID=HB,HB,2025
Illinois,HB 3021 - SB 1792 – Bot and Avatar Consumer Fraud,Nan,"expands the consumer fraud act to make it unlawful for a business to use a **chatbot, ai avatar, or similar ai agent** to interact with consumers in a commercial transaction without clearly disclosing it is not human.",https://ilga.gov/legislation/BillStatus.asp?DocNum=3021&GAID=17&SessionID=112&DocTypeID=HB,HB,2025
Illinois,HB 3334 – HUBZone Center of Excellence (uses AI),Nan,"creates a development center to aid underserved business communities (hubzones), explicitly calling for use of **ai systems to facilitate proposals and improve transparency** in grant processes.",https://ilga.gov/legislation/BillStatus.asp?DocNum=3334&GAID=17&SessionID=112&DocTypeID=HB,HB,2025
Illinois,HB 3503 – Curriculum Review to Add AI,Nan,"requires the state board of education to review mandated school curricula every 5 years and consider adding **emerging topics like digital citizenship and ai** if needed, ensuring k-12 education keeps pace with ai issues.",https://ilga.gov/legislation/BillStatus.asp?DocNum=3503&GAID=17&SessionID=112&DocTypeID=HB,HB,2025
Illinois,HB 3506,Ai Safety And Security Protocol Act,requires ai developers to publicly implement robust **safety protocols** and undergo third-party audits.,https://www.ilga.gov/legislation/BillStatus.asp?DocNum=3506&GAID=18&DocTypeID=HB&SessionID=114&GA=104,HB,2025
Illinois,HB 3506 – “AI Safety and Security Protocols” Act,Nan,"imposes obligations on ai developers to implement **safety and security protocols**, publish regular risk assessment reports (quarterly) about their ai systems, and undergo annual independent audits of their ai’s safety.",https://ilga.gov/legislation/BillStatus.asp?DocNum=3506&GAID=17&SessionID=112&DocTypeID=HB,HB,2025
Illinois,HB 3529 – AI Governance Principles and Disclosure Act,Nan,"requires the department of innovation & technology to adopt **ai governance rules** for businesses, including that companies using ai systems must publish a report on how they uphold specified ai governance principles (fairness, transparency, etc.), with civil penalties for non-compliance.",https://ilga.gov/legislation/BillStatus.asp?DocNum=3529&GAID=17&SessionID=112&DocTypeID=HB,HB,2025
Illinois,HB 3567,Ai Meaningful Human Review Act,prohibits state agencies from using **ai-driven automated decisions** without continuous human oversight and detailed impact assessments.,https://www.ilga.gov/legislation/BillStatus.asp?DocNum=3567&GAID=18&DocTypeID=HB&SessionID=114&GA=104,HB,2025
Illinois,HB 3567 - HB 3720 – “Meaningful Human Review of AI Act”,Nan,prohibits state agencies from using any automated decision-making system **without meaningful human review** in their functions. requires agencies to perform impact assessments before deploying ai for decisions and ensures a human can override ai.,https://ilga.gov/legislation/BillStatus.asp?DocNum=3567&GAID=17&SessionID=112&DocTypeID=HB,HB,2025
Illinois,HB 3646,Generative Ai Task Force Meetings Act,allows hybrid meetings and mandates periodic reports by the state's **generative ai task force**,https://www.ilga.gov/legislation/BillStatus.asp?DocNum=3646&GAID=18&DocTypeID=HB&SessionID=114&GA=104,HB,2025
Illinois,HB 3646 - SB 2117 – Generative AI Task Force Meetings,Nan,adjusts the generative ai and nlp task force operations (created earlier) to allow **hybrid meetings** and requires it to file reports on its investigation into generative ai. (this is an administrative update to an existing task force.),https://ilga.gov/legislation/BillStatus.asp?DocNum=3646&GAID=17&SessionID=112&DocTypeID=HB,HB,2025
Illinois,HB 3838 – Ticket Sales Dynamic Pricing,Nan,requires ticket sellers to show the full price up front and explicitly forbids the use of **ai-driven dynamic pricing** for event tickets (declaring such practice an unfair act).,https://ilga.gov/legislation/BillStatus.asp?DocNum=3838&GAID=17&SessionID=112&DocTypeID=HB,HB,2025
Illinois,HB 3851 – School Cyber-bullying (Deepfakes),Nan,expands the definition of cyber-bullying in schools to include sharing **“ai digital replicas”** (deepfakes) of students in a sexual context. defines generative ai and prohibits this behavior in schools.,https://ilga.gov/legislation/BillStatus.asp?DocNum=3851&GAID=17&SessionID=112&DocTypeID=HB,HB,2025
Illinois,HB 496 / SB 456 / SB 971 – AI Video Interview Act Amendments,Nan,makes technical amendments to illinois’ existing ai video interview act (which governs use of ai in hiring interviews). (these bills do not change substantive rules but keep the law updated; .),https://ilga.gov/legislation/BillStatus.asp?DocNum=496&GAID=17&SessionID=112&DocTypeID=HB,HB,2025
Illinois,SB 1366 – State Government AI Act,Nan,"requires the state it department to establish comprehensive **policies for ai use by state agencies** by 2028. until those rules are in place, agencies are generally prohibited from deploying ai. mandates impact reports for any agency ai usage.",https://ilga.gov/legislation/BillStatus.asp?DocNum=1366&GAID=17&SessionID=112&DocTypeID=SB,SB,2025
Illinois,SB 150,Ai-Generated Political Ads Disclosure Act,requires disclosure in **ai-generated political advertisements** to prevent voter deception.,https://www.ilga.gov/legislation/BillStatus.asp?DocNum=150&GAID=18&DocTypeID=SB&SessionID=114&GA=104,SB,2025
Illinois,SB 1554 – Criminal Code (AI Impersonation),Nan,amends the criminal impersonation law to clarify that impersonating someone through **ai-generated means** is illegal (e.g. using ai deepfake to falsely represent oneself as another person can be charged as impersonation).,https://ilga.gov/legislation/BillStatus.asp?DocNum=1554&GAID=17&SessionID=112&DocTypeID=SB,SB,2025
Illinois,SB 1556,Ai Education Standards Act,creates state standards for integrating **ai in school curricula** and mandates annual district reporting on ai use.,https://www.ilga.gov/legislation/BillStatus.asp?DocNum=1556&GAID=18&DocTypeID=SB&SessionID=114&GA=104,SB,2025
Illinois,SB 1677 – Teacher Evaluations (No AI),Nan,prohibits school districts from using ai tools to perform teacher performance evaluations; evaluations must be done by human evaluators without **ai scoring of teachers**.,https://ilga.gov/legislation/BillStatus.asp?DocNum=1677&GAID=17&SessionID=112&DocTypeID=SB,SB,2025
Illinois,SB 1792,Generative Ai Consumer Warning Act,requires **generative ai systems** to warn users prominently about potential inaccuracies or inappropriate outputs.,https://www.ilga.gov/legislation/BillStatus.asp?DocNum=1792&GAID=18&DocTypeID=SB&SessionID=114&GA=104,SB,2025
Illinois,SB 1792 – Generative AI Output Warnings,Nan,requires any **generative ai system** (e.g. large language model) to display a clear warning to users that its outputs may be inaccurate or inappropriate. makes failure to include such warning a deceptive business practice under the consumer fraud act.,https://ilga.gov/legislation/BillStatus.asp?DocNum=1792&GAID=17&SessionID=112&DocTypeID=SB,SB,2025
Illinois,SB 1929,Generative Ai Provenance Act,requires generative ai providers to clearly tag outputs with **metadata tracing content origin** and modifications.,https://www.ilga.gov/legislation/BillStatus.asp?DocNum=1929&GAID=18&DocTypeID=SB&SessionID=114&GA=104,SB,2025
Illinois,SB 1929 – “Provenance Data Requirements Act”,Nan,"requires providers of generative ai tools to **embed provenance metadata** into any synthetic content they create, and requires social platforms and device makers to preserve and read this data. (similar in concept to florida’s hb 369.)",https://ilga.gov/legislation/BillStatus.asp?DocNum=1929&GAID=17&SessionID=112&DocTypeID=SB,SB,2025
Illinois,SB 1996 – Algorithmic Rent Fixing Prevention,Nan,prohibits real estate lessors from collectively using a third-party **rent price optimization algorithm** (aimed at stopping coordinated rent hikes via shared pricing software). also forbids such software providers from facilitating any “agreement” between landlords on rents.,https://ilga.gov/legislation/BillStatus.asp?DocNum=1996&GAID=17&SessionID=112&DocTypeID=SB,SB,2025
Illinois,SB 2203,Algorithmic Discrimination Prevention Act,mandates annual **impact assessments** and transparency disclosures for automated decision-making systems to prevent algorithmic discrimination.,https://www.ilga.gov/legislation/BillStatus.asp?DocNum=2203&GAID=18&DocTypeID=SB&SessionID=114&GA=104,SB,2025
Illinois,SB 2255,Surveillance-Based Price Discrimination Act,bans use of **ai-powered surveillance data** for discriminatory pricing and wage-setting decisions.,https://www.ilga.gov/legislation/BillStatus.asp?DocNum=2255&GAID=18&DocTypeID=SB&SessionID=114&GA=104,SB,2025
Indiana,HB 1296 – School AI Guidelines and Inventory,Nan,directs the department of education to develop model **ai policies for schools** and to maintain an inventory of ai education platforms (with a process for teachers to submit new tools for approval).,https://iga.in.gov/legislative/2025/bills/house/1296,HB,2025
Indiana,HB 1601 – Quantum and AI Tax Incentives,"Expands Data Center Tax Exemptions To Also Cover Projects Involving **Quantum Computing, Advanced Computing, Ai, And Defense Networks** That Meet Certain Investment Thresholds",incentivizing high-tech infrastructure.,https://iga.in.gov/legislative/2025/bills/house/1601,HB,2025
Indiana,HB 1620 – Healthcare AI Disclosure,Nan,"requires health care providers to **inform patients when ai was used** in any part of their diagnosis, care decisions, or in communications about their health. insurers must similarly disclose any ai use in coverage decisions to insureds.",https://iga.in.gov/legislative/2025/bills/house/1620,HB,2025
Indiana,SB 377 – Regional Development and AI,Nan,"in a bill on regional economic development funding, it specifies that state investment decisions should align with “endless frontier” priorities including **ai**, ensuring ai is a strategic focus for indiana’s development projects.",https://iga.in.gov/legislative/2025/bills/senate/377,SB,2025
Indiana,SB 5 – AI in Budgeting,Nan,"allows state agencies to use **ai software for budget preparation** tasks (such as drafting reports), but requires reporting such use to the legislature. also provides measures for reviewing long-vacant positions for possible automation.",https://iga.in.gov/legislative/2025/bills/senate/5,SB,2025
Iowa,Draft Bill (D 1398) – AI in Campaign Materials,Nan,proposed language to require **disclaimers on ai-generated content** in campaign materials. this would mandate political ads to disclose if ai was used to create any part of the content.,https://www.legis.iowa.gov/legislation/BillBook?ga=90&ba=D1398,COMMENT,2025
Iowa,HF 204,Robotics Extracurricular Support Act,requires iowa's department of education to assist school districts in forming robotics-focused student clubs and authorizes statewide high school athletic associations to sponsor interscholastic robotics competitions.,https://www.legis.iowa.gov/docs/publications/LGI/91/HF204.pdf,HB,2025
Iowa,HF 252 – Teacher Prep and AI,Nan,"requires iowa’s teacher preparation programs to include training in **computer science, ai, and computational thinking**, ensuring new educators are versed in ai basics.",https://www.legis.iowa.gov/legislation/BillBook?ga=90&ba=HF252,HB,2025
Iowa,HF 279 - SF 118 – Emergency Powers and AI,Nan,"hf 279 prohibits the use of **drones, robots, or ai systems to enforce** emergency or disaster proclamations (preventing autonomous enforcement actions in a state of emergency). meanwhile, sf 118, conversely, would explicitly **authorize** using such technologies in emergency enforcement. (these opposing bills reflect debate on ai in law enforcement during emergencies.)",https://www.legis.iowa.gov/legislation/BillBook?ga=90&ba=HF279,HB,2025
Iowa,HF 406,Artificial Intelligence Consumer Protection Act,restricts manufacturers of consumer smart devices from using ai without explicit user notice and an option to disable ai features. establishes a civil right for individuals to sue for damages resulting from violations.,https://www.legis.iowa.gov/docs/publications/LGI/91/HF406.pdf,HB,2025
Iowa,HF 406 – AI Restrictions and Private Cause of Action,Nan,a broad bill to **restrict certain uses of ai** (exact scope unspecified in summary) and create a private right of action for individuals harmed by prohibited ai uses.,https://www.legis.iowa.gov/legislation/BillBook?ga=90&ba=HF406,HB,2025
Iowa,HF 514,Robotics Education Promotion Act,mandates technical assistance from the department of education for schools starting robotics student organizations and authorizes iowa high school athletic bodies to organize competitive robotics events.,https://www.legis.iowa.gov/docs/publications/LGI/91/HF514.pdf,HB,2025
Kansas,HB 2183,"Modifying Elements In The Crimes Of Sexual Exploitation Of A Child, Unlawful Transmission Of A Visual Depiction Of A Child And Breach Of Privacy To Prohibit Certain Acts Related To Visual Depictions In Which The Person Depicted Is Indistinguishable From A Real Child, Morphed From A Real Child'S Image Or Generated Without Any Actual Child Involvement, Provide An Exception For Cable Services In The Crime Of Breach Of Privacy And Prohibit Dissemination Of Certain Items That Appear To Depict Or Purport To Depict An Identifiable Person.","expands child sexual exploitation and privacy laws to include ai-generated or digitally altered depictions. criminalizes the creation, possession, or distribution of material that depicts real or realistic children in sexual contexts without actual child involvement, and bans sharing fake explicit images purporting to depict real individuals.",https://www.kslegislature.gov/li/b2025_26/measures/hb2183/,HB,2025
Kansas,HB 2183 – AI-Generated Child Pornography,Amends Criminal Statutes To Include **Ai-Created Or Digitally Altered Child Sexual Images** In The Definition Of Illegal Child Pornography And Sexual Exploitation Of A Child.,,http://kslegislature.org/li/b2023_24/measures/hb2183/,HB,2025
Kansas,HB 2313,Prohibiting The Use Of The Artificial Intelligence Platform Deepseek And Other Artificial Intelligence Platforms Controlled By A Country Of Concern On State-Owned Devices And On Any State Network And The Use Of Genetic Sequencers Or Operational Software Used For Genetic Analysis That Is Produced In A Foreign Adversary.,"bans state government employees from using specified foreign-controlled ai platforms on state-issued devices or networks. specifically targets the chinese chatbot ‘deepseek’ and similar ai tools from adversary nations, and also prohibits state use of genetic sequencing technology from those foreign sources, to protect security and data integrity.",https://www.kslegislature.gov/li/b2025_26/measures/hb2313/,HB,2025
Kansas,HB 2313 – Ban on Specific AI Platforms in Government,"Prohibits Use Of The Ai Platform **“Deepseek”** (And Other Designated Ai Systems Of Concern) On Any State-Owned Devices Or Networks, Likely Due To Security Or Ethical Concerns.",,http://kslegislature.org/li/b2023_24/measures/hb2313/,HB,2025
Kentucky,HB 22 - SB 62 – Geoengineering and AI,"Defines Criminal “Atmospheric Pollution” (Geoengineering Without Permission) As A Felony And Notes That **Ai Technology** May Be Involved In Such Activities. (These Companion Bills Address Geoengineering, Mentioning Ai As A Tool In That Context.)",,https://apps.legislature.ky.gov/record/23rs/hb22.html,HB,2025
Kentucky,HB 358,Algorithmic Rent Setting Prohibition,prohibits residential landlords from using algorithmic devices or software to set tenant rent amounts.,https://apps.legislature.ky.gov/record/25rs/HB358.html,HB,2025
Kentucky,HB 358 – Algorithmic Rent Setting Ban,Prohibits Landlords From Using **Algorithmic Pricing Tools** To Determine Rental Rates For Residential Tenants.,,https://apps.legislature.ky.gov/record/23rs/hb358.html,HB,2025
Kentucky,HB 498,Ai Court Transcription Pilot Program,authorizes kentucky courts to pilot ai technology for court proceeding transcription. includes guidelines for the pilot and mandates reporting on the implementation outcomes.,https://apps.legislature.ky.gov/record/25rs/HB498.html,HB,2025
Kentucky,HB 498 – AI Court Transcript Pilot,Nan,"requests the state supreme court to set up a pilot program for courts to use **ai transcription services** in proceedings, under certain guidelines, to evaluate cost and accuracy.",https://apps.legislature.ky.gov/record/23rs/hb498.html,HB,2025
Kentucky,SB 69 (similar to HB 22),Nan,makes unauthorized geoengineering a felony and includes **ai usage** in definitions (same content as hb 22).,https://apps.legislature.ky.gov/record/23rs/sb62.html,SB,2025
Maine,LD 109,"Resolve, Directing The Maine Arts Commission To Study Federal And National Efforts To Protect Artists From Copyright Infringement By Artificial Intelligence Companies And Users And To Monitor Educational Use","directs the maine arts commission, in consultation with the attorney general, to study ways to protect artists from ai-driven copyright infringement and to monitor the educational use of copyrighted works. the commission must report its findings and any recommended legislation to the legislature’s education committee by december 2025.",https://legislature.maine.gov/legis/bills/display_ps.asp?LD=109&snum=132,LD,2025
Maine,LD 1301,An Act To Prohibit The Use Of Artificial Intelligence In The Denial Of Health Insurance Claims,"establishes requirements for health insurance carriers that use ai in medical utilization review or coverage decisions. beginning january 1, 2026, carriers must ensure ai-driven determinations are fair, transparent, and disclosed, and any denial or modification of health services for medical necessity must be made by a human clinical peer rather than solely by ai.",https://legislature.maine.gov/legis/bills/display_ps.asp?LD=1301&snum=132,LD,2025
Maine,LD 230,An Act To Protect Minors From Harmful Depictions Generated By Artificial Intelligence,requires parental consent to use a minor’s likeness in advertising and prohibits using ai to generate a specific minor’s image for ads. it creates a right for minors or parents to sue violators and clarifies that ai-generated sexually explicit depictions of minors are prosecutable under existing child pornography laws.,https://legislature.maine.gov/legis/bills/display_ps.asp?LD=230&snum=132,LD,2025
Maine,LD 505,An Act To Update Processes And Fees In The Probate Court System,"implements various changes to probate law, including raising certain court filing fees and indexing them to inflation. it also requires any probate court document prepared with ai assistance to be accompanied by an affidavit verifying its accuracy, with possible sanctions for noncompliance.",https://legislature.maine.gov/legis/bills/display_ps.asp?LD=505&snum=132,LD,2025
Maine,LD 643,"Resolve, To Study The Effects Of Artificial Intelligence, Cellular Telephones And Social Media On Public Education","directs the department of education to convene a working group to examine how artificial intelligence, cell phones, and social media are impacting public education. the working group must develop findings and recommendations and report back to the legislature’s education committee.",https://legislature.maine.gov/legis/bills/display_ps.asp?LD=643&snum=132,LD,2025
Maine,LD 872,"An Act To Ensure Determinations Made By The State Are Free From Unethical, Unsafe Or Illegal Interference By Artificial Intelligence","mandates the state office of information technology to maintain a list of approved ai software for government use and prohibits deploying ai tools unless the state retains control to meet ethical and legal standards. it also guarantees due process by requiring that people affected by an ai-assisted state decision have a way to understand, review, and appeal that decision.",https://legislature.maine.gov/legis/bills/display_ps.asp?LD=872&snum=132,LD,2025
Maryland,HB 1240,Health Care Providers And Health Insurance Carriers – Use Of Artificial Intelligence In Health Care Decision Making,"prohibits health care providers and health insurers from using artificial intelligence if it is designed solely to cut costs at the expense of patient care (such as reducing care quality, delaying care, or denying coverage). it also requires providers and carriers that do use ai in health care decision-making to publish annual data about those ai-driven decisions on their websites and to undergo an independent third-party audit of the ai system’s impact on patient care.",https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB1240?ys=2025RS,HB,2025
Maryland,HB 1314,Health Care – Prior Authorizations – Prohibiting Fees,"bars in-network health care providers from charging any fee to obtain prior authorization from an insurer or managed care organization, and prohibits insurers and health plans from using artificial intelligence to automatically deny prior authorization requests. in essence, the bill protects patients by disallowing ai-only denials of medical services and eliminating extra fees for providers seeking approval for treatment.",https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB1314?ys=2025RS,HB,2025
Maryland,HB 1331,Consumer Protection – Artificial Intelligence,"imposes requirements on developers and deployers of artificial intelligence systems to protect consumers from certain risks. under this bill, an ai system’s developer (offering the system for sale) must provide specified information and disclosures about the ai, and any deployer using a high-risk ai system must implement a risk management policy, conduct impact assessments, and take precautions to prevent algorithmic discrimination. violations would be treated as unfair or deceptive trade practices under maryland’s consumer protection laws.",https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB1331?ys=2025RS,HB,2025
Maryland,HB 1425 – Deepfake Harm and PII,Nan,"makes it unlawful to use someone’s **personal identifying information** in ai/deepfake content with intent to harm, and creates a civil cause of action for victims of malicious deepfakes (e.g. non-consensual explicit deepfakes).",https://mgaleg.maryland.gov/2025RS/bills/hb/hb1425f.pdf,HB,2025
Maryland,HB 1431,State And Local Agencies – Enforcement Of Federal Immigration Law – Restrictions On Access To Information (Maryland Data Privacy Act),"known as the maryland data privacy act, this bill compels state and local government agencies (including law enforcement) to deny access to personal data, photographs, and facial recognition searches when requested for federal immigration enforcement purposes, unless a valid court warrant is provided. it strengthens privacy protections by prohibiting information-sharing with federal immigration authorities absent a warrant and requires agencies to report annually on such data requests.",https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB1431?ys=2025RS,HB,2025
Maryland,HB 1477,Consumer Protection – Consumer Reporting Agencies – Use Of Algorithmic Systems,"sets new rules for credit bureaus (consumer reporting agencies) that use algorithmic systems to compile or evaluate consumer credit information. the bill directs the commissioner of financial regulation to establish thresholds for acceptable algorithmic decision-making, require regular training for human reviewers who oversee these algorithms, and put in place a whistleblower protection program, all aimed at ensuring fairness and accountability in algorithm-driven credit reporting.",https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB1477?ys=2025RS,HB,2025
Maryland,HB 1477 – Algorithmic Credit Scoring Transparency,Imposes Requirements On Consumer Credit Reporting Agencies That Use **Algorithmic Systems,"mandates certain bias assessment thresholds, human reviewer training, and whistleblower protections to ensure fair ai-driven credit decisions.",https://mgaleg.maryland.gov/2025RS/bills/hb/hb1477f.pdf,HB,2025
Maryland,HB 5,Criminal Law – Child Pornography – Artificial Intelligence Software,"expands the definition of “computer-generated image” in maryland’s child pornography laws to include images created or altered using artificial intelligence software, thereby ensuring that ai-generated child sexual abuse material is treated as illegal under existing child pornography statutes.",https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB0005?ys=2025RS,HB,2025
Maryland,HB 740,Election Law – Campaign Materials – Disclosure Of Use Of Synthetic Media,"requires any campaign material that contains synthetic media (ai-generated altered images, audio, or video of real individuals or events) to include a clear disclosure stating that the image or recording has been altered or created using computer programs.",https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB0740?ys=2025RS,HB,2025
Maryland,HB 817,Residential Leases – Use Of Algorithmic Device By Landlord To Determine Rent – Prohibition,"prohibits landlords from using algorithmic devices (such as software using proprietary rental data) to determine the rent charged to residential tenants. a violation is considered an unfair or deceptive trade practice under the maryland consumer protection act, subjecting landlords to penalties.",https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB0817?ys=2025RS,HB,2025
Maryland,HB 820,Health Insurance – Utilization Review – Use Of Artificial Intelligence,"requires health insurance carriers, pharmacy benefit managers, and private review agents to ensure that any artificial intelligence, algorithm, or software tool used in conducting utilization reviews is implemented in an equitable and non-discriminatory manner. in general, the bill addresses the use of ai in utilization review processes to protect patients from biased or unfair decisions.",https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB0820?ys=2025RS,HB,2025
Maryland,HB 823,Generative Artificial Intelligence – Training Data Transparency,"mandates that developers of generative artificial intelligence systems (effective for systems released on or after january 1, 2022) publish documentation on their websites detailing the data used to train those ai systems. this transparency measure must be completed by january 1, 2026, and includes information such as data sources, data set size, labeling methods, and whether the data is publicly available or proprietary.",https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB0823?ys=2025RS,HB,2025
Maryland,HB 956,Consumer Protection – Workgroup On Artificial Intelligence Implementation,"establishes a workgroup on artificial intelligence implementation to study and monitor ai-related issues. the workgroup is tasked with evaluating ai regulation and consumer protection needs, reviewing private-sector ai use and the enforcement authority of the consumer protection division, and must report its recommendations to the general assembly by july 1, 2026.",https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB0956?ys=2025RS,HB,2025
Maryland,HB 966,Courts – Artificial Intelligence Evidence Clinic Pilot Program – Establishment,"creates an artificial intelligence evidence clinic pilot program within the state court system to provide expertise on ai in legal proceedings. the clinic will assist circuit and district courts by offering expert testimony on whether electronic evidence may have been generated or altered using ai, and the bill authorizes the governor to include funding for the program in the budgets for fy 2027 and 2028.",https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB0966?ys=2025RS,HB,2025
Maryland,HB 981,State Department Of Education And Department Of Information Technology – Evaluation On Artificial Intelligence In Public Schools,"directs the state department of education, with assistance from the department of information technology, to evaluate the current and potential uses of artificial intelligence in public schools. the evaluation will include a survey of local school systems and a review of available ai-based educational tools, and requires a final report on findings and recommendations by december 15, 2026.",https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB0981?ys=2025RS,HB,2025
Maryland,SB 361 – Synthetic Media Election Fraud,Nan,expands election law to ban using **“synthetic media” (ai-generated content)** to fraudulently influence voters’ decisions. (this ensures deepfakes in campaign materials are considered election fraud.),https://mgaleg.maryland.gov/2025RS/bills/sb/sb0361f.pdf,SB,2025
Maryland,SB 609,Residential Leases – Use Of Algorithmic Device By Landlord To Determine Rent – Prohibition,"prohibits the use of algorithmic pricing tools by landlords in setting residential rents. under this bill, a landlord may not rely on any algorithmic device (especially those using non-public rental market data) to decide how much rent to charge a tenant, and doing so would violate state consumer protection law as an unfair or deceptive practice.",https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/SB0609?ys=2025RS,SB,2025
Maryland,SB 609 – Algorithmic Rent Pricing Prohibition,Nan,prohibits landlords from using **algorithmic price-setting tools** to determine residential rents. violators are deemed to commit an unfair or deceptive trade practice under maryland’s consumer protection laws.,https://mgaleg.maryland.gov/2025RS/bills/sb/sb0609f.pdf,SB,2025
Maryland,SB 655,Courts – Artificial Intelligence Evidence Clinic Pilot Program – Establishment,"establishes an artificial intelligence evidence clinic pilot program in the maryland court system’s administrative office. the clinic will serve as a resource to provide expert analysis or testimony regarding the authenticity of digital evidence that may have been generated or manipulated by ai, assisting judges and juries in cases where ai-altered evidence is in question. the bill also contemplates specific funding for this program in upcoming fiscal years.",https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/SB0655?ys=2025RS,SB,2025
